,brand_name,model,year,variant,distance,city,num_of_owners,price
0,Honda,Jazz,2018,V CVT,64554,Amhedabad,1,7.05
1,Hyundai,Verna,2018,VTVT 1.6 SX Option,54195,Amhedabad,1,10.0
2,Honda,Jazz,2016,V CVT,39821,Amhedabad,1,6.25
3,Honda,Jazz,2017,1.2 S i VTEC,54966,Amhedabad,1,5.12
4,Hyundai,i20,2018,1.2 Spotz,29771,Amhedabad,1,6.37
5,Hyundai,i20,2018,1.2 Spotz,42145,Amhedabad,1,6.53
6,Honda,Jazz,2018,VX CVT,26580,Amhedabad,1,7.74
7,Tata,Tiago,2020,XZ Plus Diesel,69848,Amhedabad,1,5.9
8,Hyundai,Grand_i10,2018,1.2 Kappa Sportz BSIV,14556,Amhedabad,1,5.42
9,Maruti,Ignis,2018,1.2 Delta BSIV,51947,Amhedabad,1,4.83
10,Renault,KWID,2020,1.0 RXT Opt BSIV,4463,Amhedabad,1,4.49
11,Renault,Duster,2021,RXZ Turbo CVT,13169,Amhedabad,1,13.9
12,Hyundai,Tucson,2021,GLS AT,11828,Amhedabad,1,23.1
13,Jeep,Compass,2017,2.0 Longitude,58463,Amhedabad,1,12.4
14,Maruti,Ciaz,2017,1.3 Alpha,66160,Amhedabad,1,7.02
15,Mahindra,KUV_100,2016,mFALCON G80 K4 Plus 5str,21369,Amhedabad,1,3.73
16,Maruti,Vitara_Brezza,2017,ZDi,56708,Amhedabad,1,7.62
17,Nissan,Magnite,2021,Turbo XV Premium,5008,Amhedabad,1,8.4
18,Hyundai,EON,2017,Era Plus,7209,Amhedabad,1,3.15
19,Maruti,Ignis,2018,Delta,21286,Amhedabad,1,4.75
20,Renault,KWID,2018,RXT,22650,Amhedabad,1,3.39
21,Maruti,Baleno,2017,1.2 Alpha,38155,Amhedabad,1,6.4
22,MG,Hector,2020,Sharp Diesel MT,28835,Amhedabad,1,17.75
23,Maruti,Alto_800,2018,LXI,5709,Amhedabad,1,3.5
24,Honda,City,2020,V MT,38749,Amhedabad,1,10.0
25,Renault,Duster,2017,Petrol RXS CVT,31525,Amhedabad,1,7.5
26,Renault,Lodgy,2016,110PS RxZ 7 Seater,80674,Amhedabad,1,5.24
27,Hyundai,Grand_i10,2016,Sportz,35338,Amhedabad,1,4.93
28,Hyundai,i20,2017,Asta 1.4 CRDi,85483,Amhedabad,1,6.64
29,Maruti,Alto_K10,2018,VXI,27994,Amhedabad,1,3.45
30,Maruti,Swift,2017,VDI BSIV,86702,Amhedabad,1,5.34
31,Volkswagen,Polo,2017,1.2 MPI Comfortline,27194,Amhedabad,1,4.95
32,Datsun,RediGO,2018,AMT 1.0 S,30303,Amhedabad,1,3.25
33,Jeep,Compass,2019,1.4 Limited Plus BSIV,32294,Amhedabad,1,17.05
34,Hyundai,Santro,2019,Sportz AMT BSIV,20044,Amhedabad,1,5.48
35,Hyundai,Xcent,2016,1.1 CRDi SX,72922,Amhedabad,1,4.57
36,Nissan,Terrano,2016,XL Plus 85 PS,53988,Amhedabad,1,5.66
37,Hyundai,Grand_i10,2015,Sportz,53441,Amhedabad,1,4.19
38,Maruti,Baleno,2017,1.2 Alpha,37403,Amhedabad,1,6.4
39,Tata,Tigor,2022,XZ Plus,4337,Amhedabad,1,8.25
40,Maruti,Vitara_Brezza,2019,ZDi,49990,Amhedabad,1,8.75
41,Hyundai,i10,2012,Sportz AT,46019,Amhedabad,1,3.05
42,Renault,KWID,2021,RXL,4491,Amhedabad,1,4.4
43,Honda,City,2016,i VTEC V,25542,Amhedabad,1,7.37
44,Maruti,Ignis,2017,1.2 AMT Zeta BSIV,43292,Amhedabad,1,5.43
45,Honda,Brio,2013,EX MT,37948,Amhedabad,1,2.97
46,Maruti,SX4_S,2018,Zeta DDiS 200 SH,57429,Amhedabad,1,8.34
47,Hyundai,i20,2015,Asta 1.4 CRDi,60806,Amhedabad,1,5.7
48,Nissan,Magnite,2021,Turbo XV,12561,Amhedabad,1,8.6
49,Maruti,Baleno,2016,1.2 CVT Zeta,38026,Amhedabad,1,5.77
50,Mahindra,Marazzo,2018,M8,41071,Amhedabad,1,10.12
51,Maruti,Baleno,2021,Delta,6680,Amhedabad,1,6.88
52,Maruti,Alto_800,2020,LXI,3782,Amhedabad,1,3.75
53,Maruti,Wagon_R,2019,VXI AMT 1.2,42532,Amhedabad,1,5.15
54,Honda,Jazz,2016,V Diesel,80731,Amhedabad,1,4.65
55,Maruti,S-Presso,2019,VXI,32499,Amhedabad,1,3.73
56,Maruti,Swift_Dzire,2015,VDI,83517,Amhedabad,1,4.89
57,Hyundai,Verna,2019,VTVT 1.6 SX,15416,Amhedabad,1,9.77
58,Maruti,Baleno,2016,1.2 Zeta,42117,Amhedabad,1,5.07
59,Hyundai,i10,2012,Magna,42592,Amhedabad,1,2.65
60,Volkswagen,Vento,2017,1.2 TSI Highline Plus AT,43368,Amhedabad,1,7.54
61,Maruti,Alto_800,2018,LXI,21186,Amhedabad,1,3.2
62,Maruti,Vitara_Brezza,2018,ZDi Plus AMT,56510,Amhedabad,1,8.95
63,Honda,Amaze,2014,S,28679,Amhedabad,1,4.47
64,Hyundai,Grand_i10,2021,Sportz,28975,Amhedabad,1,6.55
65,Tata,Tigor,2017,1.2 Revotron XT,30382,Amhedabad,1,4.57
66,Maruti,Swift_Dzire,2018,ZDI Plus,55435,Amhedabad,1,6.95
67,Volkswagen,Vento,2017,1.2 TSI Highline AT,49612,Amhedabad,1,7.63
68,Tata,Tiago,2018,1.2 Revotron XT,23902,Amhedabad,1,4.6
69,Maruti,Swift_Dzire,2018,AMT ZDI,86923,Amhedabad,1,6.92
70,Maruti,Ciaz,2015,ZDi,107,Amhedabad,1,5.8
71,Maruti,Swift_Dzire,2014,VXI,18806,Amhedabad,1,4.75
72,Honda,City,2016,i VTEC CVT VX,37963,Amhedabad,1,8.65
73,Hyundai,i20,2016,Asta Option 1.4 CRDi,56285,Amhedabad,1,6.45
74,Jeep,Compass,2018,1.4 Limited,77790,Amhedabad,1,12.55
75,Maruti,Baleno,2016,1.2 Delta,81016,Amhedabad,1,5.16
76,Renault,KWID,2018,1.0 RXT Optional,13892,Amhedabad,1,3.29
77,Maruti,Baleno,2018,1.2 Alpha,30250,Amhedabad,1,6.4
78,Honda,Amaze,2015,S i-Vtech,100,Amhedabad,1,4.25
79,Hyundai,Verna,2016,1.6 VTVT AT SX,79285,Amhedabad,1,6.82
80,Hyundai,EON,2014,Era Plus,42399,Amhedabad,1,2.45
81,Honda,CR-V,2015,2.4L 4WD AT,97772,Amhedabad,1,12.03
82,Hyundai,Creta,2017,1.6 CRDi SX Plus,62879,Amhedabad,1,9.95
83,Mahindra,XUV500,2017,W6 2WD,52343,Amhedabad,1,10.07
84,Maruti,Ciaz,2016,ZDi SHVS,89680,Amhedabad,1,5.73
85,Hyundai,Grand_i10,2015,CRDi Asta,89087,Amhedabad,1,4.21
86,Mahindra,XUV500,2015,W8 2WD,90221,Amhedabad,1,8.27
87,Maruti,SX4_S,2016,DDiS 200 Delta,58775,Amhedabad,1,6.26
88,Honda,Amaze,2019,V Petrol BSIV,12231,Amhedabad,1,6.59
89,Maruti,Wagon_R,2015,LXI BS IV,37588,Amhedabad,1,3.45
90,Maruti,Alto_K10,2017,LXI,10007,Amhedabad,1,3.15
91,Maruti,Swift_Dzire,2018,VXI 1.2,50990,Amhedabad,1,6.09
92,Hyundai,Grand_i10,2018,1.2 Kappa Sportz BSIV,62014,Amhedabad,1,5.19
93,Honda,Jazz,2012,X,49329,Amhedabad,1,3.28
94,Honda,City,2014,i VTEC CVT SV,110,Amhedabad,1,5.55
95,Skoda,Rapid,2016,1.6 MPI Active BSIV,57624,Amhedabad,1,5.04
96,Maruti,Wagon_R,2014,LXI BS IV,52102,Amhedabad,1,3.2
97,Honda,City,2018,i-VTEC V,89301,Amhedabad,1,7.73
98,Datsun,RediGO,2020,T,23734,Amhedabad,1,3.7
99,Hyundai,Grand_i10,2016,CRDi Sportz,81555,Amhedabad,1,3.91
100,Maruti,Wagon_R,2014,LXI BS IV,90156,Amhedabad,1,3.09
101,Hyundai,Grand_i10,2016,CRDi Magna,83529,Amhedabad,1,3.75
102,Hyundai,Creta,2017,1.6 CRDi AT SX Plus,81992,Amhedabad,1,10.72
103,Honda,City,2016,i VTEC CVT VX,46194,Amhedabad,1,8.33
104,Hyundai,Grand_i10,2018,1.2 CRDi Sportz,47150,Amhedabad,1,4.87
105,Datsun,GO,2014,T,67885,Amhedabad,1,2.2
106,Maruti,Alto_800,2017,LXI,34359,Amhedabad,1,2.86
107,Hyundai,EON,2017,Era Plus,50849,Amhedabad,1,3.05
108,Hyundai,i20,2017,1.4 Asta,59143,Amhedabad,1,6.93
109,Maruti,Alto_800,2017,LXI,15924,Amhedabad,1,2.89
110,Honda,City,2016,i DTec V,62586,Amhedabad,1,6.56
111,Maruti,Swift,2016,VDI BSIV,80168,Amhedabad,1,4.8
112,Hyundai,i10,2015,Magna 1.1L,40797,Amhedabad,1,3.25
113,Honda,City,2016,i DTec VX,62988,Amhedabad,1,6.65
114,Renault,Duster,2018,110PS Diesel RxS AMT,59647,Amhedabad,1,8.4
115,Nissan,Micra_Active,2014,XV Petrol,58324,Amhedabad,1,2.9
116,Maruti,Alto_800,2015,LXI,41201,Amhedabad,1,2.35
117,Mahindra,Thar,2016,CRDe,13165,Amhedabad,1,6.95
118,Honda,Mobilio,2015,S i-VTEC,78449,Amhedabad,1,4.74
119,Maruti,Alto_K10,2014,2010-2014 VXI,70787,Amhedabad,1,2.32
120,Hyundai,Creta,2018,1.4 E Plus,72361,Amhedabad,1,8.55
121,Hyundai,EON,2018,Era Plus,31208,Amhedabad,1,3.11
122,Maruti,Alto_800,2018,LXI,37515,Amhedabad,1,3.05
123,Maruti,Wagon_R,2014,VXI BS IV,25129,Amhedabad,1,3.27
124,Maruti,Wagon_R,2015,LXI BS IV,56692,Amhedabad,1,3.16
125,Maruti,Ciaz,2014,ZDi,72771,Amhedabad,1,5.25
126,Maruti,Wagon_R,2015,VXI BS IV,45861,Amhedabad,1,3.61
127,Honda,Amaze,2015,E i-Dtech,62269,Amhedabad,1,3.95
128,Datsun,GO,2018,T Petrol,32198,Amhedabad,1,2.76
129,Hyundai,Verna,2018,CRDi 1.6 AT SX Plus,87735,Amhedabad,1,8.95
130,Mahindra,XUV500,2016,AT W10 AWD,86443,Amhedabad,1,9.75
131,Maruti,Swift_Dzire,2014,VXI,56431,Amhedabad,1,4.35
132,Tata,Tiago,2017,1.2 Revotron XZ,59677,Amhedabad,1,4.1
133,Mahindra,KUV_100,2017,mFALCON D75 K4,56354,Amhedabad,1,3.45
134,Hyundai,Grand_i10,2016,Magna,34368,Amhedabad,1,4.35
135,Renault,KWID,2016,RXL,68975,Amhedabad,1,2.35
136,Maruti,Swift,2018,AMT ZDI,80703,Amhedabad,1,6.1
137,Hyundai,i10,2012,Magna,86488,Amhedabad,1,2.59
138,Tata,Tigor,2018,1.2 Revotron XM,21043,Amhedabad,1,4.59
139,Maruti,Vitara_Brezza,2017,ZDi,42735,Amhedabad,1,7.55
140,Hyundai,Grand_i10,2018,1.2 CRDi Sportz,34106,Amhedabad,1,4.66
141,Maruti,Ertiga,2018,SHVS VDI,40965,Amhedabad,1,8.52
142,Mahindra,XUV500,2016,AT W10 FWD,85339,Amhedabad,1,9.95
143,Hyundai,Grand_i10,2017,1.2 CRDi Magna,70926,Amhedabad,1,4.25
144,Maruti,Baleno,2019,1.2 Zeta,20401,Amhedabad,1,6.55
145,Hyundai,Verna,2016,1.6 CRDi SX,86586,Amhedabad,1,5.85
146,Hyundai,Verna,2013,1.6 EX VTVT,35201,Amhedabad,1,4.6
147,Renault,KWID,2016,RXT,74428,Amhedabad,1,2.26
148,Hyundai,i10,2015,Magna 1.1L,72287,Amhedabad,1,2.96
149,Maruti,Baleno,2018,1.2 Delta,32348,Amhedabad,1,5.5
150,Maruti,Wagon_R,2020,LXI,10561,Amhedabad,1,4.51
151,Honda,City,2015,i VTEC CVT VX,64000,Amhedabad,1,7.91
152,Maruti,Ciaz,2015,Alpha AT,65000,Amhedabad,1,6.75
153,Maruti,Eeco,2013,5 STR With AC Plus HTR CNG,58000,Amhedabad,1,3.51
154,Mahindra,XUV500,2015,W6 2WD,36000,Amhedabad,1,8.25
155,Hyundai,Creta,2016,1.6 VTVT AT SX Plus,42000,Amhedabad,1,9.95
156,Maruti,800,2003,AC,100,Amhedabad,1,450.0
157,Toyota,Innova_Crysta,2017,2.4 VX MT 8 STR,70000,Amhedabad,1,16.9
158,Maruti,Alto_800,2018,LXI,65000,Amhedabad,1,3.6
159,Hyundai,i10,2010,Era 1.1,50000,Amhedabad,1,2.6
160,Mahindra,Bolero_Power,2018,ZLX,60000,Amhedabad,1,7.25
161,BMW,5_Series,2012,530d,98524,Amhedabad,1,17.49
162,Maruti,Ignis,2018,1.2 AMT Alpha BSIV,62000,Amhedabad,1,5.95
163,Mahindra,XUV500,2015,W8 4WD,78521,Amhedabad,1,7.25
164,Toyota,Innova,2013,2.0 G (Petrol) 8 Seater BS IV,85693,Amhedabad,1,5.75
165,Toyota,Corolla_Altis,2012,D-4D G,60524,Amhedabad,1,4.72
166,Nissan,Sunny,2012,XE,60542,Amhedabad,1,3.0
167,Volkswagen,Polo,2011,Petrol Highline 1.2L,50421,Amhedabad,1,3.25
168,Honda,Civic,2007,1.8 S MT,65243,Amhedabad,1,2.25
169,Honda,City,2010,1.5 S MT,60524,Amhedabad,1,4.15
170,Honda,City,2012,V MT,60542,Amhedabad,1,4.75
171,Honda,City,2017,i VTEC V,80542,Amhedabad,1,7.75
172,Honda,Amaze,2015,S i-Vtech,65324,Amhedabad,1,4.49
173,Honda,Amaze,2015,S i-Vtech,50421,Amhedabad,1,4.55
174,Honda,WR-V,2018,i-DTEC VX,78000,Amhedabad,1,7.95
175,BMW,X1,2019,sDrive 20d xLine,35000,Amhedabad,1,32.9
176,Hyundai,Xcent,2019,1.2 CRDi E Plus,60524,Amhedabad,1,6.0
177,Hyundai,Verna,2018,CRDi 1.6 AT SX Plus,55000,Amhedabad,1,10.25
178,Hyundai,Verna,2019,VTVT 1.6 SX Option,50421,Amhedabad,1,11.48
179,Hyundai,Sonata,2007,AT Leather,69852,Amhedabad,1,3.0
180,Hyundai,Sonata,2005,2.4L AT,95241,Amhedabad,1,2.75
181,Maruti,Ritz,2014,VXI,58632,Amhedabad,1,2.9
182,Maruti,Eeco,2018,5 Seater AC,9526,Amhedabad,1,4.55
183,Maruti,Ciaz,2018,Alpha,20635,Amhedabad,1,8.25
184,Chevrolet,Cruze,2013,LTZ,54000,Amhedabad,1,4.25
185,Maruti,Baleno,2020,1.2 Sigma,40362,Amhedabad,1,5.95
186,Chevrolet,Cruze,2016,LTZ AT,84000,Amhedabad,1,7.0
187,Maruti,Alto_800,2016,LXI,12536,Amhedabad,1,2.95
188,Maruti,Baleno,2015,Alpha Diesel,67000,Amhedabad,1,5.75
189,Tata,Harrier,2019,XZ,18000,Amhedabad,1,16.5
190,Hyundai,Verna,2017,CRDi 1.6 AT EX,36000,Amhedabad,1,9.75
191,Honda,Amaze,2020,SX i VTEC,6500,Amhedabad,1,7.41
192,Toyota,Innova,2011,2.5 G4 Diesel 8-seater,71000,Amhedabad,1,5.9
193,Ford,Ecosport,2018,1.5 Diesel Titanium BSIV,64000,Amhedabad,1,7.95
194,Maruti,XL6,2019,Alpha,18000,Amhedabad,1,10.25
195,Hyundai,Creta,2018,1.6 SX Automatic Diesel,62000,Amhedabad,1,12.7
196,Hyundai,Creta,2020,SX Opt Diesel,57000,Amhedabad,1,16.9
197,Hyundai,Creta,2018,1.4 E Plus CRDi,71000,Amhedabad,1,9.51
198,Honda,City,2015,i DTEC VX,43000,Amhedabad,1,7.9
199,Honda,City,2017,i VTEC VX Option BL,31000,Amhedabad,1,9.75
200,Hyundai,i10,2011,Era 1.1 iTech SE,50000,Amhedabad,1,2.75
201,Honda,Jazz,2017,1.2 SV i VTEC,30000,Amhedabad,1,6.25
202,Maruti,Baleno,2016,1.3 Delta,92315,Amhedabad,1,5.5
203,Maruti,Alto_800,2019,VXI,20092,Amhedabad,1,3.69
204,Maruti,Ertiga,2018,CNG VXI,81000,Amhedabad,1,8.9
205,Datsun,RediGO,2018,D,92576,Amhedabad,1,2.4
206,Honda,City,2011,1.5 S AT,86001,Amhedabad,1,4.51
207,Maruti,Wagon_R,2008,LXI,63001,Amhedabad,1,1.9
208,Tata,New_Safari,2021,XZ Plus,43000,Amhedabad,1,20.25
209,Renault,Pulse,2015,RxL,76000,Amhedabad,1,3.35
210,Toyota,Innova,2015,2.5 Z Diesel 7 Seater,149,Amhedabad,1,10.25
211,Mahindra,XUV500,2017,W6 2WD,86000,Amhedabad,1,8.75
212,Mahindra,XUV300,2020,W8 AMT Diesel,40000,Amhedabad,1,11.75
213,Mahindra,XUV500,2018,W7 AT BSIV,71000,Amhedabad,1,11.9
214,Datsun,RediGO,2017,T Option,23000,Amhedabad,1,2.95
215,Honda,City,2015,i VTEC CVT VX,54000,Amhedabad,1,7.9
216,Maruti,Ciaz,2015,VDi,50747,Amhedabad,1,5.19
217,Hyundai,i20,2017,1.4 Asta,58000,Amhedabad,1,6.95
218,Jaguar,XF,2016,2.2 Litre Luxury,70000,Amhedabad,1,27.51
219,Maruti,Alto_K10,2014,VXI AMT,56000,Amhedabad,1,3.3
220,Mercedes-Benz,S-Class,2017,S400,9000,Amhedabad,1,82.0
221,Jeep,Wrangler,2021,Rubicon,5000,Amhedabad,1,64.0
222,Ford,Endeavour,2020,Titanium Plus 4X4 AT,20000,Amhedabad,1,38.5
223,Hyundai,Grand_i10,2016,CRDi Sportz,74000,Amhedabad,1,4.95
224,Tata,Zest,2017,Quadrajet 1.3 75PS XM,90712,Amhedabad,1,2.96
225,Honda,WR-V,2018,i-VTEC VX,44000,Amhedabad,1,8.75
226,Tata,Tiago,2019,1.2 Revotron XT,60000,Amhedabad,1,4.95
227,Renault,KWID,2016,RXL,26000,Amhedabad,1,3.25
228,Honda,Jazz,2016,1.2 SV i VTEC,53000,Amhedabad,1,5.4
229,Honda,CR-V,2014,2.4L 4WD AT,59000,Amhedabad,1,12.5
230,Maruti,Ciaz,2017,RS ZXi Plus,13000,Amhedabad,1,7.9
231,Honda,Brio,2016,S MT,42000,Amhedabad,1,4.0
232,Toyota,Corolla_Altis,2009,G,59000,Amhedabad,1,3.9
233,Skoda,Rapid,2016,1.5 TDI AT Ambition,105,Amhedabad,1,6.5
234,Hyundai,i10,2011,Magna,64000,Amhedabad,1,2.95
235,Mahindra,Marazzo,2020,M2 8Str,97290,Amhedabad,1,7.7
236,Datsun,GO,2018,T BSIV,32210,Amhedabad,1,2.87
237,Mahindra,XUV500,2018,W7 AT BSIV,34639,Amhedabad,1,12.48
238,Volkswagen,Polo,2012,Diesel Comfortline 1.2L,45000,Amhedabad,1,3.51
239,Ford,Ecosport,2019,1.5 Diesel Titanium,43000,Amhedabad,1,8.9
240,Hyundai,i10,2008,Asta w/Sun Roof,38000,Amhedabad,1,2.55
241,Honda,Brio,2013,S MT,52000,Amhedabad,1,3.51
242,MG,Astor,2022,Savvy Turbo AT,4000,Amhedabad,1,18.9
243,Hyundai,i10,2013,Magna 1.1 iTech SE,44000,Amhedabad,1,3.5
244,Ford,Ecosport,2015,1.5 Petrol Titanium AT,63000,Amhedabad,1,6.5
245,Ford,Figo,2017,1.2 Trend Plus MT,28000,Amhedabad,1,4.5
246,Maruti,Baleno,2021,1.2 CVT Alpha,5000,Amhedabad,1,9.25
247,Honda,City,2013,i VTEC S,72000,Amhedabad,1,5.25
248,Mahindra,XUV500,2015,W6 2WD,66000,Amhedabad,1,7.75
249,MG,Hector,2020,Sharp DCT,22000,Amhedabad,1,17.91
250,Land,Rover_Discovery,2019,HSE 3.0 TD6,38000,Amhedabad,1,46.5
251,Fiat,Punto,2014,1.3 Dynamic,38000,Amhedabad,1,2.91
252,Maruti,Swift,2013,VDI,60000,Amhedabad,1,4.25
253,Nissan,Micra,2011,XE,38000,Amhedabad,1,2.25
254,Kia,Sonet,2022,1.5 GTX Plus Diesel AT,9000,Amhedabad,1,14.75
255,Hyundai,Creta,2020,SX Opt Diesel AT,40562,Amhedabad,1,17.51
256,Maruti,Vitara_Brezza,2017,ZDi,67410,Amhedabad,1,7.75
257,Hyundai,i20,2015,Asta Option 1.2,48000,Amhedabad,1,5.9
258,Maruti,Ciaz,2020,1.4 Alpha,14000,Amhedabad,1,10.0
259,MG,Hector,2019,Sharp Diesel MT,33000,Amhedabad,1,17.75
260,Maruti,Vitara_Brezza,2021,VXI,15000,Amhedabad,1,8.5
261,Hyundai,Verna,2020,SX,30000,Amhedabad,1,11.48
262,Mercedes-Benz,GLA_Class,2018,200 d Style,98000,Amhedabad,1,22.9
263,Mahindra,TUV_300,2018,T10 AMT,65000,Amhedabad,1,7.8
264,Mahindra,Thar,2020,LX 4-Str Hard Top Diesel,18000,Amhedabad,1,15.5
265,Maruti,Ciaz,2017,ZDi,75000,Amhedabad,1,7.75
266,Maruti,Ciaz,2017,Zeta,44000,Amhedabad,1,7.49
267,MG,Hector,2019,Sharp DCT,18000,Amhedabad,1,16.91
268,Audi,Q3,2013,2.0 TDI Quattro Premium Plus,75000,Amhedabad,1,15.51
269,Kia,Seltos,2020,HTX G,35000,Amhedabad,1,14.4
270,Tata,Harrier,2021,XZ Plus Dark Edition,8000,Amhedabad,1,20.4
271,Toyota,Fortuner,2012,4x4 MT,71000,Amhedabad,1,12.7
272,Toyota,Fortuner,2018,2.8 2WD MT,76000,Amhedabad,1,30.9
273,Mercedes-Benz,E-Class,2017,Exclusive E 220d,80000,Amhedabad,1,37.9
274,Honda,City,2017,i VTEC SV,62000,Amhedabad,1,7.5
275,Honda,City,2018,i-VTEC V,74000,Amhedabad,1,7.9
276,BMW,5_Series,2012,520d,68000,Amhedabad,1,14.45
277,Skoda,Rapid,2020,1.0 TSI Ambition,8000,Amhedabad,1,8.5
278,Hyundai,Grand_i10,2014,AT Asta,15955,Amhedabad,1,4.29
279,Honda,City,2014,i DTEC V,97408,Amhedabad,1,5.2
280,Hyundai,Grand_i10,2018,1.2 Kappa Magna BSIV,11621,Amhedabad,1,4.96
281,Hyundai,EON,2014,Era Plus,45000,Amhedabad,1,2.74
282,Hyundai,Elantra,2014,CRDi SX,72000,Amhedabad,1,7.25
283,Maruti,Celerio,2016,VXI,120,Amhedabad,1,3.8
284,Jeep,Compass,2017,2.0 Limited Option,81000,Amhedabad,1,12.51
285,Maruti,Wagon_R,2011,CNG LXI BSIV,43000,Amhedabad,1,2.72
286,Mahindra,Xylo,2013,H8 Airbag,98000,Amhedabad,1,3.91
287,Hyundai,Verna,2018,CRDi 1.6 AT SX Plus,35000,Amhedabad,1,10.75
288,Hyundai,Elantra,2015,CRDi SX AT,58000,Amhedabad,1,7.25
289,Hyundai,i20,2010,Asta (o),33000,Amhedabad,1,3.5
290,Tata,Nexon,2020,1.2 Revotron XZ Plus,12000,Amhedabad,1,9.91
291,Honda,City,2009,1.5 S AT,40000,Amhedabad,1,4.25
292,Hyundai,Verna,2019,VTVT 1.6 SX Option,48000,Amhedabad,1,11.51
293,Maruti,Wagon_R,2010,LXI,56000,Amhedabad,1,2.4
294,Volkswagen,Polo,2021,GT 1.0 TSI,27000,Amhedabad,1,9.5
295,Hyundai,Verna,2015,1.6 VTVT S Option,79290,Amhedabad,2,5.95
296,Maruti,Ciaz,2017,1.4 Delta,34878,Amhedabad,2,6.7
297,Honda,Jazz,2015,1.2 V AT i VTEC,75451,Amhedabad,2,5.25
298,Honda,Brio,2015,S MT,29862,Amhedabad,2,3.3
299,Nissan,Micra,2015,XL Optional,35812,Amhedabad,2,3.1
300,Hyundai,EON,2017,1.0 Era Plus,27005,Amhedabad,2,2.57
301,Hyundai,i20,2017,1.2 Asta Option,51018,Amhedabad,2,6.0
302,Mahindra,Scorpio,2018,S7 140 BSIV,72302,Amhedabad,2,10.25
303,Mahindra,XUV500,2015,W10 2WD,74847,Amhedabad,2,8.63
304,Hyundai,EON,2017,Era Plus,36832,Amhedabad,2,2.61
305,Renault,KWID,2016,RXT,54309,Amhedabad,2,2.45
306,Renault,KWID,2016,RXL,25288,Amhedabad,2,2.45
307,Hyundai,EON,2014,Magna Plus,57412,Amhedabad,2,2.5
308,Honda,City,2015,i DTEC V,84340,Amhedabad,2,5.63
309,Honda,Jazz,2015,1.2 V i VTEC,65836,Amhedabad,2,4.33
310,Datsun,GO,2016,A,40959,Amhedabad,2,2.08
311,Hyundai,i20,2016,Asta 1.4 CRDi,71113,Amhedabad,2,5.2
312,Hyundai,i20,2015,Asta 1.2,46734,Amhedabad,2,5.07
313,Honda,City,2016,i DTec SV,66066,Amhedabad,2,5.44
314,Hyundai,i20,2014,Sportz 1.2,39605,Amhedabad,2,3.75
315,Maruti,Wagon_R,2004,LX,110,Amhedabad,2,0.5
316,Honda,City,2009,1.5 S AT,65243,Amhedabad,2,3.49
317,Honda,City,2013,1.5 S AT,49532,Amhedabad,2,5.25
318,Ford,Fiesta,2010,1.4 SXi TDCi ABS,110,Amhedabad,2,2.25
319,Honda,Amaze,2014,S AT i-Vtech,41253,Amhedabad,2,4.89
320,Hyundai,i20,2011,1.2 Magna,62534,Amhedabad,2,2.87
321,Hyundai,i10,2011,Magna,95000,Amhedabad,2,2.55
322,Maruti,800,2004,Std,64000,Amhedabad,2,0.4
323,Hyundai,Grand_i10,2018,1.2 Kappa Magna BSIV,70000,Amhedabad,2,4.0
324,Maruti,SX4,2011,Vxi BSIV,76001,Amhedabad,2,2.51
325,Mahindra,XUV500,2014,W8 FWD,58000,Amhedabad,2,6.9
326,Honda,City,2014,i VTEC SV,65000,Amhedabad,2,5.5
327,Toyota,Qualis,2004,FS B2,120,Amhedabad,2,2.5
328,Maruti,Wagon_R,2007,LXI Minor,66000,Amhedabad,2,1.45
329,Honda,Amaze,2014,S AT i-Vtech,37000,Amhedabad,2,4.65
330,Honda,Amaze,2015,S i-Vtech,68000,Amhedabad,2,4.65
331,Honda,City,2015,i VTEC V,83000,Amhedabad,2,6.75
332,Honda,City,2014,i VTEC V,54000,Amhedabad,2,6.8
333,Toyota,Innova,2012,2.5 VX (Diesel) 7 Seater BS IV,156,Amhedabad,2,7.3
334,BMW,X1,2018,xDrive 20d xLine,49000,Amhedabad,2,27.5
335,Hyundai,Verna,2011,1.6 SX CRDI (O) AT,62520,Amhedabad,2,4.5
336,Honda,City,2010,1.5 S MT,56000,Amhedabad,2,3.75
337,Maruti,Kizashi,2011,MT,120,Amhedabad,2,4.0
338,Tata,Nexon,2017,1.5 Revotorq XZ Plus Dual Tone,40000,Amhedabad,2,7.75
339,Hyundai,Xcent,2015,1.2 Kappa SX Option,84847,Amhedabad,2,3.53
340,Mahindra,XUV500,2015,W10 1.99 mHawk,61000,Amhedabad,2,8.25
341,Maruti,Swift,2014,ZDi,60000,Amhedabad,2,4.45
342,Hyundai,Santro_Xing,2008,GL,72000,Amhedabad,2,2.0
343,Audi,Q3,2012,2.0 TDI,65000,Amhedabad,2,11.9
344,Maruti,Zen_Estilo,2009,1.1 VXI BSIII,79000,Amhedabad,2,2.15
345,Ford,Endeavour,2018,3.2 Titanium AT 4X4,82000,Amhedabad,2,20.9
346,Hyundai,Elantra,2017,1.6 SX,65000,Amhedabad,2,9.0
347,Honda,City,2006,VTEC,50000,Amhedabad,2,1.8
348,Renault,KWID,2018,1.0 RXL 02 Anniversary Edition,30000,Amhedabad,2,3.3
349,BMW,5_Series,2015,520d Luxury Line,74000,Amhedabad,2,22.5
350,Nissan,Micra,2012,Diesel XV,56000,Amhedabad,2,2.91
351,Honda,City,2010,1.5 S MT,65000,Amhedabad,2,3.75
